title,overview
England 1-0 Austria: Lionesses get off to winning Euro 2022 start,Beth Mead helps England get off to a winning start at Euro 2022 as they beat Austria in front of a record crowd for a European Women's Championship game at Old Trafford.
Jerry Harris: Star of Netflix's Cheer sentenced to 12 years,Jerry Harris admitted to exchanging lewd pictures with children that he knew to be underage.
"British Airways to cancel 10,300 more flights",The airline says the cancellations will affect short-haul flights between August and the end of October.
Caerphilly: Circus acrobat injured in human cannonball stunt,"Phone footage shows the performer missing a safety net during a ""human cannonball"" stunt."
Bank of England vows to bring down inflation,The bank's chief economist says its focus is getting prices down and making life affordable again.
Rafael Nadal beats Taylor Fritz in Wimbledon quarter-finals,Rafael Nadal fights through injury to come from behind to beat Taylor Fritz and reach the Wimbledon semi-finals.
China: MI5 and FBI heads warn of â€˜immenseâ€™ threat,The UK and US security service heads make an unprecedented joint appearance to warn about China.
Chris Mason: Boris Johnson's authority is draining away,"Westminster is a postcode defined by power and tonight it is shifting, the BBC's political editor says."
"Who has gone, who is staying?","After Rishi Sunak and Sajid Javid resign, who else is leaving Boris Johnson's cabinet and in his ministerial team?"
General Election: When is the next one and could it be called sooner?,"If a PM wants an early election they need to make a ""request"" to the Queen."
"The problems start at the top, Javid tells PM","Former health secretary Sajid Javid says the government's problems and scandals ""start at the top""."
Boris Johnson: Welsh Secretary Simon Hart quits cabinet,Simon Hart was among the cabinet ministers who had earlier urged Boris Johnson to resign.
Will Nadhim Zahawi change tack on the economy?,All eyes are on whether the new chancellor adopts a different approach to economic management.
Steve Barclay: What will new health secretary tackle first?,"Sajid Javid's replacement faces a big list of problems, including NHS staff pay and long waiting lists."
How might Boris Johnson be removed as PM?,"The PM is clinging on but if his premiership does come to an end, here is how it might happen."
Mason: Johnson facing day of judgement,The prime minister is about to face MPs' questions as he sees ministers resign from his government.
Who is Michelle Donelan and what is the new education secretary facing?,"The new education secretary will have to take on rising costs for schools, and Covid catch-up pressures."
Who is Nadhim Zahawi? Iraqi refugee to chancellor,"Iraqi refugee, Teletubby merchandise salesman, pollster, millionaire - meet the new chancellor."
The Papers: Johnson 'fights for life' and 'stares down mutiny',Questions over the survival of Boris Johnson's premiership leads newspapers again on Thursday.
Covid: Norfolk man says he is 'fighting every day for life',"A man who spent two months in a coma after having Covid says people should ""never give up""."
Former cameraman Peter Jouvenal speaks following release,Former cameraman Peter Jouvenal was held by the Taliban for six months.
Gwynedd: Sheep rescued after 10 days stuck in mine shaft,Rescue team members descend on ropes into a mine to haul the trapped sheep back to safety
Three contested Michael Jackson songs removed from streaming services,"The songs, which fans have claimed contain 'fake' vocals, have been pulled from Spotify and YouTube."
"Fourth Thor film is 'funny but silly', critics say","Taika Waititi's Thor: Love and Thunder receives broadly positive reviews, with some reservations."
"Chagos Islands FA: The team representing a lost homeland, 6,000 miles away","The Chagos Islands football team are trying to keep the story of their ancestors alive, 6,000 miles from their disputed homeland."
Ukraine war: Is the tank is doomed for scrap?,The destruction of Russian tanks in Ukraine has raised questions over its future in modern warfare.
Australia floods: Unfounded cloud seeding claims spread online,False suggestions that Sydney floods were linked to weather manipulation reach thousands online.
Paradise reopened - Bali hopes for tourists to return,The Indonesian island wants holidaymakers to come back as it reopens after two years.
Hemel Hempstead mother's funding plea for daughter's rare disease,"Alex Robins says she will keep ""fighting and fighting"" for her one-year-old daughter, Lexi."
How TikTok is fuelling dreams of wealth in the Arab world,The video sharing app is making some Arab youth rich - but for others the dream is way out of reach.
South Africa electricity crisis: No power for up to six hours,"In what is described as the biggest ever power crisis, there are blackouts of up to six hours a day."
Mumbai: Heavy rains bring Indian city to a standstill,Millions are battling flooding and overflowing sewers as monsoon rains lash India's financial capital.
Chicago shooting: Parents of two-year-old boy among victims,"Irina McCarthy and Kevin McCarthy were shot dead by a gunman, leaving their son Aiden an orphan."
We're so short-staffed our hotel has to turn people away,Business owners say they face increasing problems due to staffing shortages and soaring inflation.
Euro 2022: A night like no other for women's football in England,"On a night that will be remembered for the occasion rather than England's performance, Euro 2022 gets off to a flying start in front of 68,871 at Old Trafford."
Euro 2022: Beth Mead's goal gives England winning start against Austria,Watch highlights as England beat Austria in the opening match of the European Women's Championship.
Chelsea: Raheem Sterling agrees move from Manchester City,Manchester City forward Raheem Sterling agrees personal terms with Chelsea.
Wimbledon 2022: Rafael Nadal beats Taylor Fritz despite rib injury,Rafael Nadal suffers through rib injury to come from behind and beat Taylor Fritz to reach the Wimbledon semi-finals 3-6 7-5 3-6 7-5 7-6 (10-4).
Cameron Norrie: How British player became a Wimbledon semi-finalist,"As Cameron Norrie prepares for his first Wimbledon semi-final, BBC Sport looks at how he got there."
Wimbledon: Nick Kyrgios beats Cristian Garin to reach semi-finals,Nick Kyrgios reaches his first Grand Slam singles semi-final with a straight-set win over Chile's Cristian Garin at Wimbledon.
Mary-Sophie Harvey says she was drugged at World Swimming Championships,Canadian swimmer Mary-Sophie Harvey says she was drugged during the final night of the World Championships in Budapest last month.
"Meet the Lionesses: TikTok, turtlenecks and a world without bananas",BBC Sport's Liam Loftus takes a tour of England's media day to ask the Lionesses some of the silliest questions they will face ahead of Euro 2022.
England v Austria: How you rated the players from Euro 2022 opener at Old Trafford,How did you rate the players as England begin their Euro 2022 campaign with a win over Austria at Old Trafford?
Euro 2022: NI captain Marissa Callaghan says she is fit to face Norway in opener,Northern Ireland captain Marissa Callaghan says she is fit and available for her side's Euro 2022 opening match against Norway at St Mary's on Thursday.
Euro 2022: Beth Mead gives England lead against Austria at Old Trafford,England's Beth Mead scores the opening goal against Austria at Old Trafford in the first match of the European Women's Championship.
Question of Sport: How will you get on in this week's Euros-themed quiz?,The Question of Sport team have put together a quiz to test your knowledge of the Women's European Championship.
Alexia Putellas: Spain star on Euro 2022-ending injury - 'I have faith I can get back on track',"Spain's Alexia Putellas says ""I have faith I can recover, get back on track and finished what I started"" as an injury rules her out of Euro 2022."
"Sarina Wiegman: The player, the manager, the leader, the person","As Sarina Wiegman prepares to lead England at the Euros, those who have worked with her reveal all to BBC Sport."
Euro 2022: Five great goals from five players to watch,"Watch great goals from players set to star at the Women's European Championship this summer, including England's Lauren Hemp and the Netherlands' Vivianne Miedema."
Euro 2022: Biggest women's sporting event in European history kicks off,"A record-breaking 500,000 tickets have been sold for Euro 2022, which kicks off with hosts England on Wednesday."
Ukraine round-up: Evacuation under fire and new oil tensions,Civilians flee Ukraine's eastern city of Slovyansk and Kazakh oil is hit by a Russian court ruling.
Boris Johnson resigns: First leadership bids to become next prime minister,Some Tory MPs are launching their leadership bids to become PM - with ex-soldier Tom Tugendhat the latest to put his name forward.
"NHS hospital buildings risky and need repair, say trust bosses","Some NHS buildings are unsafe and urgently need upgrading, trust bosses warn."
UK heatwave: Temperatures to hit low 30s as heat-health alert issued,"Parts of the country are predicted to hit 28C (82.4F) on Friday, beginning a run of hot days."
Theranos exec Sunny Balwani convicted of fraud,He and fraudster Elizabeth Holmes ran the Silicon Valley company as a couple before its implosion.
Pensions scandal: Even more women were underpaid,"It is now thought 237,000 people have been underpaid a total of Â£1.5bn, new figures show."
Ghislaine Maxwell appeals against sex trafficking conviction,Ghislaine Maxwell formally filed her appeal nine days after her conviction for child sex trafficking.
Baby P's mother Tracey Connelly released from prison,"Dominic Raab previously condemned the decision, saying the Parole Board needs an ""overhaul""."
"PM 'thinks' he reported oligarch meeting, MPs told",Boris Johnson met ex-KGB man Alexander Lebedev without officials but says they were informed after.
Gymnast Simone Biles given highest US civilian award,The Olympic gymnast is the youngest person ever to receive the Presidential Medal of Freedom.
"US probes rare, intensive audits of Trump critics",Ex-FBI heads James Comey and Andrew McCabe were subjected to rigorous checks during Trump's presidency.
Ukraine sent dozens of 'dronations' to build army of drones,The country hopes to collect thousands of hobbyist and commercial drones.
Derek Chauvin sentenced to 20 years for violating George Floyd's rights,The former police officer is already serving a 22-year prison sentence for the murder of Mr Floyd.
Charles Darwin: Notebooks lost for 20 years go on display in Cambridge,Notebooks mysteriously returned after 20 years are featured in a new Cambridge exhibition.
Llanelli woman jailed for taking 150 driving tests for others,Police say Inderjeet Kaur's offences put people at risk and were motivated by greed.
Boris Johnson resignation: New leader will shift political landscape,"As the Boris Johnson era ends, it's a safe bet the next Tory leader will be a very different character."
Who will replace Boris Johnson?,Tory MPs are vying to become the next party leader and prime minister - but who are they?
What happens now?,How will the Conservatives elect a new leader and who will be the next prime minister?
Watch the moment Johnson announces resignation,The PM formally announces he is quitting as leader of the Tory party after a perilous few days in office.
Boris Johnson resigns: Voters across England react to the news,"One says the PM has ""abused his authority"" while another says he is ""sorry to see him go""."
Boris Johnson resigns: Chris Mason reveals news live on-air,The prime minister has communicated that he will resign.
"Who resigned, who stayed?","As Boris Johnson decides to step down as prime minister, who resigned from his government ahead of the announcement?"
Boris Johnson: Shailesh Vara replaces Brandon Lewis as NI Secretary,Mr Lewis' resignation came before it emerged that Boris Johnson would step down as prime minister.
Boris Johnson met Russian oligarch Lebedev without aides,"The prime minister admits he met Alexander Lebedev, an ex-KGB agent, without officials present."
The Papers: Johnson quits and country in 'state of paralysis',The prime minister's resignation and his pledge to stay on in the interim leads most papers.
Quiz of the week: A Minions trend caused cinemas to ban what?,How closely have you been paying attention to what's been going on over the past seven days?
Bristol longboarding group 'a blessing' during lockdown,Bristol Girls Longboard is a community of women and non-binary people who meet to practise longboarding.
Africa's week in pictures: 1-7 July 2022,A selection of the best photos from across Africa and beyond this week.
In pictures: The rise and fall of a prime minister,The photographs that capture the rise and fall of British Prime Minister Boris Johnson.
Arachnophobia: Could you conquer your fear?,ZSL London Zoo runs a Friendly Spider Programme to help people who have a fear of spiders.
Lost in Palma: Airline reunites Wakefield boy with soft toy,"A mum praises Jet2 for pulling out all the stops and flying ""Bunbun"" from Majorca to Yorkshire."
Boris Johnson: 48 hours of political chaos,The drama that led to Boris Johnson's downfall.
Kiteboarders take to sky in southern Spain,The contenders battle it out in an annual world championship event.
Boris Johnson: Moments from his leadership,Highlights from the prime minister's political life.
James Caan: 10 memorable roles,"The late US actor, who has died aged 82, starred in films including The Godfather, Misery and Elf."
Ukraine round-up: Putin dares West as Zelensky pays tribute to Johnson,Russian forces push into the eastern Donetsk where one civilian died on Thursday after a missile strike.
Pakistan goat: Long-eared kid becomes star,"Simba's ears measure 54cm (21in) each, a length his owner claims breaks global records."
Sea lion found in polluted Riachuelo River returned to sea,"The animal is back in the wild after finding itself in one of Latin America's dirtiest rivers, the Riachuelo."
Olivia Rodrigo and Natalie Imbruglia perform a surprise duet in London,"Natalie Imbruglia is a surprise guest at Olivia Rodrigo's UK tour, teaming up for a duet of Torn."
The US army base training Ukrainian fighters,American style training at Fort Leavenworth stands in contrast to Soviet-style military education.
Zero Covid holds danger for China's Xi,The president is seeking a historic third term amid an economic slump and growing fatigue over Covid.
How science is making chocolate taste even better,Cocoa beans go through a fermentation process that scientists say can be more precisely controlled.
Sri Lanka crisis: Daily heartbreak of life in a country gone bankrupt,"Living in Sri Lanka is a daily battle and people are broken after months of crisis, writes Andrew Fidel Fernando."
Jane Campion: Netflix may be more picky over projects after subscriber fall,Her Oscar-winning Power of the Dog was made by Netflix but she fears others may not get a chance.
The PM who broke all the rules,"Boris Johnson reached the very top by defying political convention, but he has finally run out of luck."
5 things that led to Boris Johnson's downfall,"Less than three years after a thumping election win, the PM is resigning. How did it come to this?"
Shailesh Vara: Who is the new Northern Ireland secretary?,The challenges facing the MP for North West Cambridgeshire as he replaces Brandon Lewis.
Ukraine war: Is the tank doomed?,The destruction of Russian tanks in Ukraine has raised questions over its future in modern warfare.
England v India: England lose first T20 of Jos Buttler's captaincy by 50 runs,England lose their first match under new captain Jos Buttler as Hardik Pandya inspires India to a 50-run victory in the first Twenty20.
Wimbledon: Cameron Norrie says Novak Djokovic semi-final 'one of tougher tasks in tennis',"Britain's Cameron Norrie says facing six-time champion Novak Djokovic in Friday's Wimbledon semi-final is ""one of the tougher tasks in tennis""."
Rafael Nadal withdraws from Wimbledon before Nick Kyrgios semi-final with injury,Rafael Nadal withdraws from his Wimbledon semi-final against Nick Kyrgios with an abdominal injury.
Wimbledon 2022: Ons Jabeur hits shot of day 11 at Wimbledon with clever improvisation.,Ons Jabeur hits the best shot of day eleven at Wimbledon with clever improvisation.
England v India: Hardik Pandya stars with bat and ball against England,Hardik Pandya finishes with four wickets and 51 runs to lead India to a dominant 50-run victory over England.
Wimbledon 2022: Ons Jabeur to face Elena Rybakina in final,History makers Ons Jabeur and Elena Rybakina will meet in the Wimbledon final after the pair claimed impressive victories in the last four.
Cameron Norrie: How British player became a Wimbledon semi-finalist,"As Cameron Norrie prepares for his first Wimbledon semi-final, BBC Sport looks at how he got there."
Euro 2022: Derry Girls star Saoirse-Monica Jackson kicks off Northern Ireland's opening match,Derry Girls star Saoirse-Monica Jackson kicks off Northern Ireland's opening match of the European Women's Championship against Norway.
Euro 2022: NI boss Kenny Shiels says they have 'created a monster' by growing too quickly,Northern Ireland manager Kenny Shiels says there is a need for realism when assessing his team's performances at Euro 2022.
Euro 2022: Can Spain live up to expectations at Euro 2022?,"Unbeaten in two years and with a squad full of Champions League winners, Spain have however been hit by injuries to key players."
Euro 2022: Julie Nelson makes history as Northern Ireland lose to Norway on debut,Northern Ireland's historic debut at a major tournament ends in a 4-1 defeat by a ruthless Norway side in their Euro 2022 opener at St Mary's.
Elon Musk pulls out of $44bn deal to buy Twitter,Twitter says it is committed to the deal and will take legal action to enforce the agreement.
Ex-Chancellor Rishi Sunak launches bid to be Conservative leader,"The former chancellor vows to ""rebuild the economy"" as he enters the race to succeed Boris Johnson."
Political landscape being re-shaped before our eyes,"With Boris Johnson soon to be an ex-PM, Labour's leader faces a moving target of various possible future ones."
Shinzo Abe: Japan ex-leader's alleged killer held grudge against group - police,"The man suspected of killing Japan's ex-PM held a grudge against a group he thought Abe was part of, police say."
UK heatwave: Parents urged to keep children out of sun,The warning for parents comes as a heat-health alert continues for parts of the UK.
Chris Pincher: Councillor 'told to hold grope allegation',Daniel Cook says he was advised by a colleague to delay disclosing he was groped by Chris Pincher.
Sopranos actor Tony Sirico dies aged 79,"The actor portrayed Paulie Walnuts, one of Tony Soprano's chief henchmen, on the popular HBO series."
Roe v Wade: Biden calls for federal law to restore abortion rights,The order comes amid pressure on the US president to take more action to safeguard abortion access.
Nearly half a million more adults on antidepressants in England,"There has also been a rise in children and teenagers taking the drugs, NHS figures show."
"Terrorism: Lone actors make stopping attacks harder, say FBI and MI5 chiefs",US and UK security services say the rise of lone actors means less intelligence on potential attacks.
Canada hit by massive mobile and internet outage,"Emergency call hotlines, hospitals and government agencies are affected by the nationwide issue."
Wimbledon: Novak Djokovic beats Cameron Norrie to reach final,Britain's Cameron Norrie is unable to capitalise on a confident start as Novak Djokovic fights back to reach the Wimbledon men's singles final.
Father Dermott Donnelly: Declan Donnelly's brother dies after illness,"The ITV presenter says he is ""beyond devastated"" by the loss of his brother, who was a priest."
The Papers: Sunak says 'tax cuts must wait' as 'battle begins',The race to lead the Conservative Party dominates the front pages on Saturday.
Shane Richie: Actor to reprise EastEnders Alfie Moon role,"The much-loved character is set to return for a second time, 20 years after his first appearance."
"Naomi Campbell on modelling, mortarboards and motherhood",The supermodel has been awarded an honorary doctorate by a UK university for her impact on global fashion.
The Aids activists who took on big pharma in South Africa,The fight for affordable HIV/Aids treatment
Aardman helps open doors for student with animation,The sessions are run by the Wallace and Gromit creators. Netflix and Bristol charity Ablaze.
Week in pictures: 2 - 8 July 2022,"A selection of powerful images from all over the globe, taken in the past seven days."
Haryana: The 105-year-old 'Bolt granny' breaking running records in India,"Rambai, who has won over a dozen medals in running competitions, is an inspiration to younger generations."
Wimbledon: Cameron Norrie says reaching semi-finals is 'pretty sick' after Novak Djokovic loss,"Britain's Cameron Norrie says reaching the Wimbledon semi-finals is ""pretty sick"" and gives him added belief he can win a Grand Slam title."
Shinzo Abe: How the former Japan PM's assassination unfolded,How a gunman attacked and fatally shot the former Japanese PM during a campaign rally.
The legacy of Japan's longest serving PM,"A contentious nationalist, he was known for his signature economic reforms and an assertive foreign policy."
Boris Johnson resignation: Your questions answered,Our political correspondent answers some of your questions on the PM's departure.
Portland Tiara theft: Plastic bag 'blew case open',"A Â£3.5m tiara theft put police on the trail of a violent gang, whose victims included Ashley Cole."
The teenagers helping to save - not spend - their parents' money,"As families are hit by rapidly rising prices, one group of teenagers is taking budgeting lessons home."
Italians wait for rain where longest river runs dry,Farmers in the north fear for the future as the River Po runs dry in the worst drought in 70 years.
Boris Johnson: Fact-checking three years of the outgoing prime minister's claims,Some critics of Boris Johnson have questioned his honesty - we tested some of his most notable claims.
Wimbledon: Ons Jabeur & Elena Rybakina bid to make further history in final,There will be a new name on the Venus Rosewater Dish on Saturday as Ons Jabeur and Elena Rybakina chase further history in the Wimbledon final.
Australia v England: Ellis Genge says England need to be 'better everywhere' in second Test,"England prop Ellis Genge says England need to be ""better everywhere"" in the second Test against Australia, after being ""naive"" in their opener."
"Wimbledon: Ons Jabeur on family unable to be at final, childhood dreams & watching Roger Federer's win","In her latest BBC Sport column, Wimbledon finalist Ons Jabeur talks about her parents not being able to travel to London for Saturday's match."
Wimbledon 2022: Novak Djokovic wins point after trick-shot lob against Cameron Norrie,Novak Djokovic finishes off Cameron Norrie with a drop shot after hitting an incredible 'hot dog' lob during their semi-final at Wimbledon.
Austrian Grand Prix: Max Verstappen on pole as both Mercedes crash,Red Bull's Max Verstappen pips the Ferrari of Charles Leclerc to pole position at the Austrian Grand Prix with his final lap of qualifying.
South Africa v Wales: Revamped Springboks selection spices up Bloemfontein battle,They say never change a winning side but that mantra has been well and truly ripped up this week in South Africa.
Argentina v Scotland: Test series on the line in Salta,Scotland need a win over Argentina on Saturday to keep the Test series alive and could do with rediscovering some of the attacking magic from head coach Gregor Townsend's early days in charge.
Euro 2022: Who are the players to watch out for this summer?,"As Europe's best players come to England for this summer's Euros, BBC Sport picks out the stars who could shine."
Sajid Javid and Jeremy Hunt join Conservative Party leadership race,The former cabinet ministers join list of senior Tories in race to replace Boris Johnson as leader and PM.
Sri Lanka: President Rajapaksa to resign after palace stormed,Thousands of protesters have been demanding the PM and president quit over the country's economic crisis.
"Shinzo Abe killing: Security was flawed, Japan police say",Japan is in shock after former PM Shinzo Abe was assassinated during a campaign speech.
RAF fighter jets deploy to Sweden and Finland training exercises,"Six fighters, including two of the latest F-35s, fly to the prospective Nato members for joint exercises."
Roe v Wade: Thousands march to White House for abortion rights,"The US Supreme Court last month repealed Roe v Wade, ending the nationwide guarantee to an abortion."
Wimbledon: Novak Djokovic chases 21st Grand Slam & Nick Kyrgios seeks first,"Nick Kyrgios says he will be playing for ""the ultimate glory"" and ""tennis immortality"" when he faces Novak Djokovic in Sunday's Wimbledon men's final."
Andrea Jenkyns: Minister says she raised her middle finger because of a 'baying mob',"Education minister Andrea Jenkyns says she should have shown more composure ""but is only human""."
Ukraine reports heavy Russian missile strikes in east and south,Civilian areas are hit again in several cities and police say Russia is setting crops ablaze.
Dalmarnock Tesco superstore evacuated after woman stabbed,A woman is taken to hospital and a man is arrested after the incident in South Lanarkshire.
Met Police special constable charged with rape in Shropshire,"Paul Hoile, who has been suspended from the Met, appears in court accused of four offences."
Raheem Sterling: Chelsea agree fee with Manchester City for England winger,"Chelsea and Manchester City agree a fee worth up to Â£50m for Raheem Sterling, who is set to join the Stamford Bridge club on a five-year contract."
Collin Reeves: Sentence review for ex-soldier who murdered couple,Collin Reeves stabbed neighbours Jennifer and Stephen Chapple while their children slept upstairs.
Ex-MP Stewart appeals for help finding lost wedding ring,"The former Conservative MP says he ""dropped"" his ring after giving a talk at Buxton Opera House."
The Papers: 'Bitter Johnson' and calls for 'massive' tax cuts,Quarrels over tax and new names in the Tory leadership contest dominate the front pages on Sunday.
Can protest songs really make a difference?,"A project funded by the UKâ€™s Arts and Humanities Research Council has analysed protest songs from the 1600s to today, creating the first official database of English protest songs."
Ukraine war: A welcome on two wheels for refugee children,"Around 30,000 Ukrainian refugees have fled to Denmark, where a nationwide scheme is offering a unique, two-wheeled welcome."
Prom dress boy says it is 'everything' to be called inspirational,"Korben, 16, reflects on a week in which his prom outfit became ""the most famous dress in Britain""."
"Birmingham bus that survived the Blitz restored for Â£500,000",Vehicle 486 was once a home for a retired miner in a Herefordshire field.
Sailor spots 12ft shark lurking in sea off Tenby,Alex Brace spotted the huge beast lurking in the depths off Tenby.
Sri Lanka crowd breaks Rajapaksa grip on power,Sri Lanka's leaders flee from an angry crowd - extraordinary for a country tainted by political repression.
Nottingham maternity crisis: Are voices finally being heard?,Does the latest review offer families the hope of finally having their voices heard?
Heatwaves: What do they do to the body and who is at risk?,What impact do high temperatures have on our bodies?
Covid-19 in the UK,Explore the data on coronavirus in the UK.
America's race gap between black and white homeowners,Black Americans are almost twice as likely to be denied a mortgage than their white counterparts.
Who will replace Boris Johnson?,Tory MPs are vying to become the next party leader and prime minister - but who are they?
